Authors,Title,Publication year,Abstract,Keywords
"Lim S,Tucker CS,Kumara S",An unsupervised machine learning model for discovering latent infectious diseases using social media data,2017,"Introduction The authors of this work propose an unsupervised machine learning model that has the ability to identify real-world latent infectious diseases by mining social media data. In this study, a latent infectious disease is defined as a communicable disease that has not yet been formalized by national public health institutes and explicitly communicated to the general public. Most existing approaches to modeling infectious-disease-related knowledge discovery through social media networks are top-down approaches that are based on already known information, such as the names of diseases and their symptoms. In existing top-down approaches, necessary but unknown information, such as disease names and symptoms, is mostly unidentified in social media data until national public health institutes have formalized that disease. Most of the formalizing processes for latent infectious diseases are time consuming. Therefore, this study presents a bottom-up approach for latent infectious disease discovery in a given location without prior information, such as disease names and related symptoms. Methods Social media messages with user and temporal information are extracted during the data preprocessing stage. An unsupervised sentiment analysis model is then presented. Users’ expressions about symptoms, body parts, and pain locations are also identified from social media data. Then, symptom weighting vectors for each individual and time period are created, based on their sentiment and social media expressions. Finally, latent-infectious-disease-related information is retrieved from individuals’ symptom weighting vectors. Datasets and results Twitter data from August 2012 to May 2013 are used to validate this study. Real electronic medical records for 104 individuals, who were diagnosed with influenza in the same period, are used to serve as ground truth validation. The results are promising, with the highest precision, recall, and F1 score values of 0.773, 0.680, and 0.724, respectively. Conclusion This work uses individuals’ social media messages to identify latent infectious diseases, without prior information, quicker than when the disease(s) is formalized by national public health institutes. In particular, the unsupervised machine learning model using user, textual, and temporal information in social media data, along with sentiment analysis, identifies latent infectious diseases in a given location.","Latent infectious diseases, Information retrieval, Unsupervised machine learning, Sentiment analysis, Social media"
"Medhi JP,Dandapat S",An effective fovea detection and automatic assessment of diabetic maculopathy in color fundus images,2016,"Prolonged diabetes causes severe damage to the vision through leakage of blood and blood constituents over the retina. The effect of the leakage becomes more threatening when these abnormalities involve the macula. This condition is known as diabetic maculopathy and it leads to blindness, if not treated in time. Early detection and proper diagnosis can help in preventing this irreversible damage. To achieve this, the possible way is to perform retinal screening at regular intervals. But the ratio of ophthalmologists to patients is very small and the process of evaluation is time consuming. Here, the automatic methods for analyzing retinal/fundus images prove handy and help the ophthalmologists to screen at a faster rate. Motivated from this aspect, an automated method for detection and analysis of diabetic maculopathy is proposed in this work. The method is implemented in two stages. The first stage involves preprocessing required for preparing the image for further analysis. During this stage the input image is enhanced and the optic disc is masked to avoid false detection during bright lesion identification. The second stage is maculopathy detection and its analysis. Here, the retinal lesions including microaneurysms, hemorrhages and exudates are identified by processing the green and hue plane color images. The macula and the fovea locations are determined using intensity property of processed red plane image. Different circular regions are thereafter marked in the neighborhood of the macula. The presence of lesions in these regions is identified to confirm positive maculopathy. Later, the information is used for evaluating its severity. The principal advantage of the proposed algorithm is, utilization of the relation of blood vessels with optic disc and macula, which enhances the detection process. Proper usage of various color plane information sequentially enables the algorithm to perform better. The method is tested on various publicly available databases consisting of both normal and maculopathy images. The algorithm detects fovea with an accuracy of 98.92% when applied on 1374 images. The average specificity and sensitivity of the proposed method for maculopathy detection are obtained as 98.05% and 98.86% respectively.","Diabetic retinopathy, Exudate, Macula, Fovea, Diabetic maculopathy, Fundus image"
"Davoodi R,Moradi MH",Mortality prediction in intensive care units (ICUs) using a deep rule-based fuzzy classifier,2018,"Electronic health records (EHRs) contain critical information useful for clinical studies. Early assessment of patients’ mortality in intensive care units is of great importance. In this paper, a Deep Rule-Based Fuzzy System (DRBFS) was proposed to develop an accurate in-hospital mortality prediction in the intensive care unit (ICU) patients employing a large number of input variables. Our main contribution is proposing a system, which is capable of dealing with big data with heterogeneous mixed categorical and numeric attributes. In DRBFS, the hidden layer in each unit is represented by interpretable fuzzy rules. Benefiting the strength of soft partitioning, a modified supervised fuzzy k-prototype clustering has been employed for fuzzy rule generation. According to the stacked approach, the same input space is kept in every base building unit of DRBFS. The training set in addition to random shifts, obtained from random projections of prediction results of the current base building unit is presented as the input of the next base building unit. A cohort of 10,972 adult admissions was selected from Medical Information Mart for Intensive Care (MIMIC-III) data set, where 9.31% of patients have died in the hospital. A heterogeneous feature set of first 48 h from ICU admissions, were extracted for in-hospital mortality rate. Required preprocessing and appropriate feature extraction were applied. To avoid biased assessments, performance indexes were calculated using holdout validation. We have evaluated our proposed method with several common classifiers including naïve Bayes (NB), decision trees (DT), Gradient Boosting (GB), Deep Belief Networks (DBN) and D-TSK-FC. The area under the receiver operating characteristics curve (AUROC) for NB, DT, GB, DBN, D-TSK-FC and our proposed method were 73.51%, 61.81%, 72.98%, 70.07%, 66.74% and 73.90% respectively. Our results have demonstrated that DRBFS outperforms various methods, while maintaining interpretable rule bases. Besides, benefiting from specific clustering methods, DRBFS can be well scaled up for large heterogeneous data sets.","Deep learning, Fuzzy classifier, Mixed data, Mortality prediction, Intensive care units"
"Mariño C,Ortega M,Barreira N,Penedo MG,Carreira MJ,González F",Algorithm for registration of full Scanning Laser Ophthalmoscope video sequences,2011,"Abstract Fluorescein angiography is an established technique for examining the functional integrity of the retinal microcirculation for early detection of changes due to retinopathy. This paper describes a new method for the registration of large Scanning Laser Ophthalmoscope sequences (SLO), where the patient has been injected with a fluorescent dye. This allows the measurement of parameters such as the arteriovenous passage time. Due to the long time needed to acquire these sequences, there will inevitably be eye movement, which must be corrected prior to the application of quantitative analysis. The algorithm described here combines mutual information-based registration and landmark-based registration. The former will allow the alignment of the darkest frames of the sequence, where the dye has not still arrived to the retina, because of its ability to work with images without a preprocessing or segmentation, while the latter uses relevant features (the vessels) extracted by means of a robust creaseness operator, to get a very fast and accurate registration. The algorithm only detects rigid transformations but proves to be robust against the slight alterations derived from the eye location perspective during acquisition. Results were validated by expert clinicians.","Image registration, Mutual information, Crest lines, Dye–dilution curves, Artery–vein time"
"Wang Y,Ji G,Lin P,Trucco E",Retinal vessel segmentation using multiwavelet kernels and multiscale hierarchical decomposition,2013,"We propose a comprehensive method for segmenting the retinal vasculature in fundus camera images. Our method does not require preprocessing and training and can therefore be used directly on different images sets. We enhance the vessels using matched filtering with multiwavelet kernels (MFMK), separating vessels from clutter and bright, localized features. Noise removal and vessel localization are achieved by a multiscale hierarchical decomposition of the normalized enhanced image. We show a necessary condition to achieve the optimal decomposition and derive the associated value of the scale parameter controlling the amount of details captured. Finally, we obtain a binary map of the vasculature by locally adaptive thresholding, generating a threshold surface based on the vessel edge information extracted by the previous processes. We report experimental results on two public retinal data sets, DRIVE and STARE, demonstrating an excellent performance in comparison with retinal vessel segmentation methods reported recently.","Vessel detection, Retinal images, Segmentation, Matched filter, Multiwavelet, Multiscale hierarchical decomposition"
"Heneghan C,Flynn J,O'Keefe M,Cahill M",Characterization of changes in blood vessel width and tortuosity in retinopathy of prematurity using image analysis,2002,"Many retinal diseases are characterised by changes to retinal vessels. For example, a common condition associated with retinopathy of prematurity (ROP) is so-called plus disease, characterised by increased vascular dilation and tortuosity. This paper presents a general technique for segmenting out vascular structures in retinal images, and characterising the segmented blood vessels. The segmentation technique consists of several steps. Morphological preprocessing is used to emphasise linear structures such as vessels. A second derivative operator is used to further emphasise thin vascular structures, and is followed by a final morphological filtering stage. Thresholding of this image is used to provide a segmented vascular mask. Skeletonisation of this mask allows identification of points in the image where vessels cross (bifurcations and crossing points) and allows the width and tortuosity of vessel segments to be calculated. The accuracy of the segmentation stage is quite dependent on the parameters used, particularly at the thresholding stage. However, reliable measurements of vessel width and tortuosity were shown using test images. Using these tools, a set of images drawn from 23 subjects being screened for the presence of threshold ROP disease is considered. Of these subjects, 11 subsequently required treatment for ROP, 9 had no evidence of ROP, and 3 had spontaneously regressed ROP. The average vessel width and tortuosity for the treated subjects was 96.8 ?m and 1.125. The corresponding figures for the non-treated cohort were 86.4 ?m and 1.097. These differences were statistically significant at the 99% and 95% significance level, respectively. Subjects who progressed to threshold disease during the course of screening showed an average increase in vessel width of 9.6 ?m and in tortuosity of +0.008. Only the change in width was statistically significant. Applying a simple retrospective screening paradigm based solely on vessel width and tortuosity yields a screening test with a sensitivity and specificity of 82% and 75%. Factors confounding a more accurate test include poor image quality, inaccuracies in vessel segmentation, inaccuracies in measurement of vessel width and tortuosity, and limitations inherent in screening based solely on examination of the posterior pole.","Morphological processing, Retinopathy of prematurity, Segmentation, Screening"
"Liu Q,Zhou X,Wu H,Zheng B",Blocking-free and self-contained immunoassay platform for one-step point-of-care testing,2020,"This paper reports a quantitative and sensitive one-step point-of-care testing (POCT) chip built on a perfluorinated substrate patterned with polydopamine microspots array. The capture antibody was covalently immobilized on the polydopamine microspots, while the fluorescently labelled detection antibody was physically adsorbed on the perfluorinated surface. The POCT chip allowed one-step sandwich immunoassay and was able to directly detect the analytes from the whole blood without sample preprocessing. By further taking advantages of the strong fluorescence quenching ability of the polydopamine, the blocking-free substrate was able to achieve similar performance in detecting and quantifying the protein biomarkers as the substrate with the blocking treatment. The blocking-free strategy not only made the fabrication of the chip simple and convenient, but also improved the chip's sensitivity for biomarker quantification. Finally, we demonstrated that the self-contained POCT platform maintained the performance for one-step immunoassay even after long-term storage. With the POCT platform, we are one step closer to a sample-in-answer-out diagnostic system.","Microarray, Polydopamine, Excipient, Quantitative immunoassay, Fluorescence quenching, Point-of-care testing"
"Santos MS,Abreu PH,García-Laencina PJ,Simão A,Carvalho A",A new cluster-based oversampling method for improving survival prediction of hepatocellular carcinoma patients,2015,"Liver cancer is the sixth most frequently diagnosed cancer and, particularly, Hepatocellular Carcinoma (HCC) represents more than 90% of primary liver cancers. Clinicians assess each patient’s treatment on the basis of evidence-based medicine, which may not always apply to a specific patient, given the biological variability among individuals. Over the years, and for the particular case of Hepatocellular Carcinoma, some research studies have been developing strategies for assisting clinicians in decision making, using computational methods (e.g. machine learning techniques) to extract knowledge from the clinical data. However, these studies have some limitations that have not yet been addressed: some do not focus entirely on Hepatocellular Carcinoma patients, others have strict application boundaries, and none considers the heterogeneity between patients nor the presence of missing data, a common drawback in healthcare contexts. In this work, a real complex Hepatocellular Carcinoma database composed of heterogeneous clinical features is studied. We propose a new cluster-based oversampling approach robust to small and imbalanced datasets, which accounts for the heterogeneity of patients with Hepatocellular Carcinoma. The preprocessing procedures of this work are based on data imputation considering appropriate distance metrics for both heterogeneous and missing data (HEOM) and clustering studies to assess the underlying patient groups in the studied dataset (K-means). The final approach is applied in order to diminish the impact of underlying patient profiles with reduced sizes on survival prediction. It is based on K-means clustering and the SMOTE algorithm to build a representative dataset and use it as training example for different machine learning procedures (logistic regression and neural networks). The results are evaluated in terms of survival prediction and compared across baseline approaches that do not consider clustering and/or oversampling using the Friedman rank test. Our proposed methodology coupled with neural networks outperformed all others, suggesting an improvement over the classical approaches currently used in Hepatocellular Carcinoma prediction models.","Hepatocellular Carcinoma (HCC), Clustering, K-means, Oversampling, SMOTE, Survival prediction"
"Gunasundari S,Janakiraman S,Meenambal S",Multiswarm heterogeneous binary PSO using win-win approach for improved feature selection in liver and kidney disease diagnosis,2018,"Feature selection is a significant preprocessing method in the classification part of an expert system. We propose a new Multiswarm Heterogeneous Binary Particle Swarm Optimization algorithm (MHBPSO) using a Win-Win approach to improve the performance of Binary Particle Swarm Optimization algorithm (BPSO) for feature selection. MHBPSO is a cooperation algorithm, which includes BPSO and its three variants such as Boolean PSO (BoPSO), Self Adjusted Hierarchical Boolean PSO (SAHBoPSO), and Catfish Self Adjusted Hierarchical Boolean PSO (CSAHBoPSO). It performs heterogeneous search on the entire solution space using four different algorithms. Each algorithm shares global best information to another algorithm to select the preeminent global best position. A variant of BoPSO, SAHBoPSO is proposed, in which leaders are identified based on the fitness values for guiding remaining particles and thus forms the hierarchical structure of leaders and its followers. Meanwhile leaders and followers are changed dynamically and consequently changed the hierarchical structure. CSAHBoPSO, which is the version of SAHBoPSO, is also proposed to avoid stagnation in the subsequent iterations. To assess the performance of the proposed algorithms CEC 2013 benchmark functions are employed. In order to validate the proposed algorithms, comparative study with BPSO, BoPSO, VPSO (Mirjalili and Lewis, 2013), HBPSOGA (Wang et al., 2018) and CatfishBPSO (Chuang et al., 2011a) is provided. Experimental results show that SAHBoPSO and CSAHBoPSO algorithm based on BoPSO are promising and significantly better than BPSO, BoPSO, and VPSO. MHBPSO shows the superior improvement in the search ability. In addition, proposed algorithms are tested in the feature selection phase of intelligent liver and kidney cancer diagnostic systems to select elite features from the liver and kidney cancer data. Findings show that the proposed system is proficient in selecting the elite features to classify the tumor as benign or malignant with minimum error rates.","Binary Particle Swarm Optimization, Boolean particle swarm optimization, Swarm intelligence, Feature selection, Liver cancer, Kidney cancer"
"Li J,Lu J,Tobore I,Liu Y,Kandwal A,Wang L,Zhou J,Nie Z",Towards noninvasive and fast detection of Glycated hemoglobin levels based on ECG using convolutional neural networks with multisegments fusion and Varied-weight,2021,"Glycated hemoglobin A1c (HbA1c) is regarded as a gold standard to evaluate long-term blood glucose control, and it is also a crucial metric in diabetes screening, diagnosis, and management. However, thus far, the HbA1c measurement methods are invasive and painful. Considering that HbA1c levels are associated with cardiovascular autonomic neuropathy, in this paper, a novel Electrocardiogram (ECG)-based approach was presented for noninvasive and fast detection of HbA1c levels using 60-second, single-lead ECG waveform. For this purpose, a total of 317,105 ECG datasets encompassing 370 patients with diabetes were obtained using wearable devices. Furthermore, the ECG preprocessing was based on autocorrelation analysis. The convolutional neural networks with multisegment fusion and varied-weight (CNN-MFVW) were proposed to achieve ECG feature extraction and HbA1c detection. The results showed that the average accuracy, precision, recall, and F1-score of the proposed algorithm were 0.9015, 0.9051, 0.8991 and 0.9013 respectively. Moreover, the area under the curve (AUC) was up to 0.9899, which was higher than other algorithms of conventional CNN and CNN-LSTM. Therefore, we conclude that the proposed approach for noninvasive and fast detection of HbA1c levels has potentials in practical applications. © 2021 Elsevier Ltd","Autocorrelation; Chemical detection; Convolution; Feature extraction; Hemoglobin; Long short-term memory, Auto correlation; Convolutional neural network; Fast detections; Glycated hemoglobin a1c; Glycated hemoglobins; Gold standards; Haemoglobins; Hemoglobin levels; Multi-segment; Non-invasive detection, Electrocardiography"
"Muneeb M,Henschel A",Eye-color and Type-2 diabetes phenotype prediction from genotype data using deep learning methods,2021,"Background: Genotype–phenotype predictions are of great importance in genetics. These predictions can help to find genetic mutations causing variations in human beings. There are many approaches for finding the association which can be broadly categorized into two classes, statistical techniques, and machine learning. Statistical techniques are good for finding the actual SNPs causing variation where Machine Learning techniques are good where we just want to classify the people into different categories. In this article, we examined the Eye-color and Type-2 diabetes phenotype. The proposed technique is a hybrid approach consisting of some parts from statistical techniques and remaining from Machine learning. Results: The main dataset for Eye-color phenotype consists of 806 people. 404 people have Blue-Green eyes where 402 people have Brown eyes. After preprocessing we generated 8 different datasets, containing different numbers of SNPs, using the mutation difference and thresholding at individual SNP. We calculated three types of mutation at each SNP no mutation, partial mutation, and full mutation. After that data is transformed for machine learning algorithms. We used about 9 classifiers, RandomForest, Extreme Gradient boosting, ANN, LSTM, GRU, BILSTM, 1DCNN, ensembles of ANN, and ensembles of LSTM which gave the best accuracy of 0.91, 0.9286, 0.945, 0.94, 0.94, 0.92, 0.95, and 0.96% respectively. Stacked ensembles of LSTM outperformed other algorithms for 1560 SNPs with an overall accuracy of 0.96, AUC = 0.98 for brown eyes, and AUC = 0.97 for Blue-Green eyes. The main dataset for Type-2 diabetes consists of 107 people where 30 people are classified as cases and 74 people as controls. We used different linear threshold to find the optimal number of SNPs for classification. The final model gave an accuracy of 0.97%. Conclusion: Genotype–phenotype predictions are very useful especially in forensic. These predictions can help to identify SNP variant association with traits and diseases. Given more datasets, machine learning model predictions can be increased. Moreover, the non-linearity in the Machine learning model and the combination of SNPs Mutations while training the model increases the prediction. We considered binary classification problems but the proposed approach can be extended to multi-class classification. © 2021, The Author(s).","Color; Deep learning; Forecasting; Learning systems; Long short-term memory; Statistical methods, Binary classification problems; Genetic mutations; Gradient boosting; Machine learning models; Machine learning techniques; Multi-class classification; Overall accuracies; Statistical techniques, Learning algorithms, eye color; genetics; genotype; human; non insulin dependent diabetes mellitus; phenotype, Deep Learning; Diabetes Mellitus, Type 2; Eye Color; Genotype; Humans; Phenotype"
"Mathews MR,Anzar SM",A comprehensive review on automated systems for severity grading of diabetic retinopathy and macular edema,2021,"Diabetes mellitus is a major medical concern worldwide. Long-term diabetes can affect the retina of the eye and lead to diabetic retinopathy (DR) and diabetic macular edema (DME). Proper screening and consultation with an ophthalmologist are necessary to prevent avoidable vision loss. As DR and DME have become more prevalent, automated screening is essential to provide cost-effective and rapid solutions with reduced human resources requirements. This paper aims to provide a comprehensive review of the literature on computer-aided diagnosis of DR and DME. We identified the studies on automated five-class grading of DR according to International Clinical Diabetic Retinopathy severity scale and three class grading of diabetic maculopathy, using fundus images. A systematic search on research repositories was conducted, and relevant studies were scrutinized and included in the review. The studies were reported in nearly 100 different journals. We have reviewed the studies in all aspects including datasets, preprocessing, non-deep learning, and deep learning-based algorithms, and evaluation metrics. Significant contributions in developing automated tools for DR/DME grading are highlighted. We have identified and discussed research gaps and challenges. This will help researchers to get an updated summary of work done in the area. Deep learning-based algorithms have outperformed the traditional algorithms in the domain. Despite their promising performance, these algorithms reveal the potential for significant improvements to become a reliable tool in clinical settings. © 2021 Wiley Periodicals LLC.","Automation; Computer aided diagnosis; Cost effectiveness; Deep learning; Eye protection; Grading, Automated screening; Automated systems; Clinical settings; Diabetes mellitus; Diabetic retinopathy; Evaluation metrics; Learning-based algorithms; Systematic searches, Learning algorithms"
"Ponnibala M,Priyanka EB,Thangavel S",Proliferative Diabetic Retinopathy Diagnostic Investigation Using Retinal Blood Vessels Mining Technique,2021,"In clinical field, wide assortments of utilizations can be managed utilizing image handling. Recognition and screening of retinal sicknesses was one such application in picture preparing. Diabetic retinopathy is an inconvenience of diabetes. The ailment influences veins inside the retina. The retina is a region lying at the rear of the eyeball. In the most punctual phase of the infection, the little veins, or vessels, gotten slenderer, more fragile and inevitably they spill blood. A patient's sight at this stage is still acceptable yet an ophthalmologist can identify and see the irregularities in the retina. As the sickness advances, some veins are obstructed. These trigger the retina to develop fresh blood vessels, which are unusual, delicate, and effectively drain. In the later phase of the ailment, fresh blood vessels are developed ceaselessly just as scar tissue. Eventually, retina will be isolates from an eye. Another strategy for removing the retinal veins from the shading fundus retinal picture dependent on include grouping was proposed in this undertaking, to decrease the ophthalmologists' time and vitality for checking the retinal pictures. The veins are separated from the shading fundus picture by applying the preprocessing strategies and division procedures utilizing coordinated channel and adjusted nearby entropy thresholding activity. The preprocessed picture was then utilized for highlight extraction and these highlights were utilized for order reason. At long last, arrangement procedure was utilized for diagnosing the proliferative diabetic retinopathy. © 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC part of Springer Nature.","Blood; Diseases; Eye protection; Image processing; Ophthalmology, Diabetic retinopathy; Mining techniques; Retinal blood vessels; Scar tissues; Thresholding, Blood vessels"
"Tena F,Garnica O,Lanchares J,Hidalgo JI",Ensemble models of cutting-edge deep neural networks for blood glucose prediction in patients with diabetes,2021,"This article proposes two ensemble neural network-based models for blood glucose prediction at three different prediction horizons—30, 60, and 120 min—and compares their performance with ten recently proposed neural networks. The twelve models’ performances are evaluated under the same OhioT1DM Dataset, preprocessing workflow, and tools at the three prediction horizons using the most common metrics in blood glucose prediction, and we rank the best-performing ones using three methods devised for the statistical comparison of the performance of multiple algorithms: scmamp, model confidence set, and superior predictive ability. Our analysis provides a comparison of the state-of-the-art neural networks for blood glucose prediction, estimating the model’s error, highlighting those with the highest probability of being the best predictors, and providing a guide for their use in clinical practice. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Blood; Deep neural networks; Glucose, Blood glucose; Blood glucose prediction; Cutting edges; Deep learning; Ensemble models; Ensemble neural network; Network-based modeling; Neural-networks; Performance; Prediction horizon, Forecasting"
"Seo W,Park SW,Kim N,Jin SM,Park SM",A personalized blood glucose level prediction model with a fine-tuning strategy: A proof-of-concept study,2021,"Background: The accurate prediction of blood glucose (BG) level is still a challenge for diabetes management. This is due to various factors such as diet, personal physiological characteristics, stress, and activities influence changes in BG level. To develop an accurate BG level predictive model, we propose a personalized model based on a convolutional neural network (CNN) with a fine-tuning strategy. Methods: We utilized continuous glucose monitoring (CGM) datasets from 1052 professional CGM sessions and split them into three groups according to type 1, type 2, and gestational diabetes mellitus (T1DM, T2DM, and GDM, respectively). During the preprocessing, only CGM data points were utilized, and future BG levels of four different prediction horizons (PHs, 15, 30, 45, and 60 min) were used as output. In training, we trained a general CNN and a multi-output random forest regressor using a hold-out method for each group. Next, we developed two personalized models: (1) by fine-tuning the general CNN on partial sample points of each CGM dataset, and (2) by learning a CNN from scratch on the points. Results: For all groups, the fine-tuned CNN showed the lowest average root mean squared error, average mean absolute percentage error, highest average time gain (PH = 15 and 60 min in T1DM) and highest percentage in region A of Clarke error grid analysis at all PHs. In the performance comparison between the fine-tuned CNN and other models, we found that the fine-tuned CNN improved the performance of the general CNN in most cases and outperformed the scratch CNN at all PHs in all groups, making the fine-tuning strategy was useful for accurate BG level prediction. We analyzed all cases of four predictive patterns in each group, and found that the input BG level trend and the BG level at the time of prediction were related to the future BG level trend. Conclusions: We demonstrated the efficacy of the fine-tuning method in a large number of CGM datasets and analyzed the four predictive patterns. Therefore, we believe that the proposed method will significantly contribute to the development of an accurate personalized model and the analysis for its predictions. © 2021","Blood; Convolutional neural networks; Decision trees; Errors; Forecasting; Glucose; Information management; Large dataset; Mean square error, Blood glucose level; Blood glucose management; Continuous glucose monitoring; Convolutional neural network; Data-driven approach; Fine tuning; Personalized model; Prediction modelling; Proof of concept; Tuning strategy, Deep neural networks, C peptide; carbohydrate; glucose; hemoglobin A1c, adult; Article; blood glucose monitoring; comparative study; controlled study; convolutional neural network; female; glucose blood level; human; insulin dependent diabetes mellitus; insulin release; major clinical study; male; middle aged; non insulin dependent diabetes mellitus; predictive value; pregnancy diabetes mellitus; proof of concept; random forest; blood glucose monitoring; diet; forecasting, Blood Glucose; Blood Glucose Self-Monitoring; Diet; Forecasting; Neural Networks, Computer"
"Jeyafzam F,Vaziri B,Suraki MY,Hosseinabadi AA,Slowik A",Improvement of grey wolf optimizer with adaptive middle filter to adjust support vector machine parameters to predict diabetes complications,2021,"In medical science, collecting and classifying data from various diseases is a vital task. The confused and large amounts of data are problems that prevent us from achieving acceptable results. One of the major problems for diabetic patients is a failure to properly diagnose the disease. As a result of this mistake in diagnosis or failure in early diagnosis, the patient may suffer from complications such as blindness, kidney failure, and cutting off the toes. Nowadays, doctors diagnose the disease by relying on their experience and knowledge and performing complex and time-consuming tests. One of the problems with current diabetic, diagnostic methods is the lack of appropriate features to diagnose the disease and consequently the weakness in its diagnosis, especially in its early stages. Since diabetes diagnosis relies on large amounts of data with many parameters, it is necessary to use machine learning methods such as support vector machine (SVM) to predict the complications of diabetes. One of the disadvantages of SVM is its parameter adjustment, which can be accomplished using metaheuristic algorithms such as particle swarm optimization algorithm (PSO), genetic algorithm, or grey wolf optimizer (GWO). In this paper, after preprocessing and preparing the dataset for data mining, we use SVM to predict complications of diabetes based on selected parameters of a patient acquired by laboratory test using improved GWO. We improve the selection process of GWO by employing dynamic adaptive middle filter, a nonlinear filter that assigns appropriate weight to each value based on the data value. Comparison of the final results of the proposed algorithm with classification methods such as a multilayer perceptron neural network, decision tree, simple Bayes, and temporal fuzzy min–max neural network (TFMM-PSO) shows the superiority of the proposed method over the comparable ones. © 2021, The Author(s).","Adaptive filtering; Adaptive filters; Data mining; Decision trees; Diagnosis; Filtration; Forecasting; Genetic algorithms; Large dataset; Learning systems; Multilayer neural networks; Particle swarm optimization (PSO); Statistical tests; Trees (mathematics), Classification methods; Diabetes diagnosis; Large amounts of data; Machine learning methods; Meta heuristic algorithm; Multi-layer perceptron neural networks; Parameter adjustments; Particle swarm optimization algorithm, Support vector machines"
"Shivappriya SN,Rajaguru H,Ramya M,Asiyabegum U,Prasanth D",Disease Prediction based on Retinal Images,2021,"The paper's major goal is to create a basic framework for recognising disorders including diabetes, hypertension, and heart attacks. In the retinal fundus image shows two types of blood vessels that is arteries and veins. To diagnosis the different types of diseases, it is more important to distinguish the vessels into arteries veins, which are highly correlated with brain and heart functioning. Preprocessing steps are introduced for the segmentation vessel using median filter algorithm. After pre-processing the images are undergone with Convolution Neural Network (CNN) approach. CNN is used to recognize the key feature of the images and they are differentiated based on the key feature. When we give the input of retinal images the difference in the retinal eye was observed based on their diseases. There are numerous diseases like heart attack, diabetics etc, which kills the people. With the help of this project some of the diseases are predicted with the help of the retinal eye. Retinal eye is very important which consists of retinal nerves which are connected to the brain. The VGG 16 architecture is used to find the diseases using retinal images. © 2021 IEEE.","Blood vessels; Diagnosis; Median filters; Network architecture, Convolution neural network; Heart attack; Highly-correlated; Key feature; Prediction-based; Preprocessing; Retina; Retinal fundus images; Retinal image; VGG16 architecture, Ophthalmology"
"Yasin S,Iqbal N,Ali T,Draz U,Alqahtani A,Irfan M,Rehman A,Glowacz A,Alqhtani S,Proniewska K,Brumercik F,Wzorek L",Severity grading and early retinopathy lesion detection through hybrid inception-resnet architecture,2021,"Diabetic retinopathy (DR) is a diabetes disorder that disturbs human vision. It starts due to the damage in the light-sensitive tissues of blood vessels at the retina. In the beginning, DR may show no symptoms or only slight vision issues, but in the long run, it could be a permanent source of impaired vision, simply known as blindness in the advanced as well as in developing nations. This could be prevented if DR is identified early enough, but it can be challenging as we know the disease frequently shows rare signs until it is too late to deliver an effective cure. In our work, we recommend a framework for severity grading and early DR detection through hybrid deep learning Inception-ResNet architecture with smart data preprocessing. Our proposed method is composed of three steps. Firstly, the retinal images are preprocessed with the help of augmentation and inten-sity normalization. Secondly, the preprocessed images are given to the hybrid Inception-ResNet architecture to extract the vector image features for the categorization of different stages. Lastly, to identify DR and decide its stage (e.g., mild DR, moderate DR, severe DR, or proliferative DR), a classification step is used. The studies and trials have to reveal suitable outcomes when equated with some other previously deployed approaches. However, there are specific constraints in our study that are also discussed and we suggest methods to enhance further research in this field. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Blood vessels; Deep learning; Grading; Image processing; Ophthalmology, Data preprocessing; Deep learning; Developing nations; Diabetic retinopathy; Fundus image; Human vision; Impaired vision; Lesion detection; Retinal image; SMART datum, Eye protection, blindness; diabetic retinopathy; diagnostic imaging; eye fundus; human; methodology; retina, Blindness; Diabetic Retinopathy; Fundus Oculi; Humans; Research Design; Retina"
"Nugroho A,Fanani AZ,Shidik GF",Evaluation of Feature Selection Using Wrapper for Numeric Dataset with Random Forest Algorithm,2021,"Preprocessing is more than half of machine learning process. Dimensionality reduction is one of the preprocessing task, which included feature extraction and selection. Feature selection used for identify relevant and remove not relevant feature. The goal of this research is to select relevant feature using wrapper method for early diabetes prediction dataset which has been transformed to numeric dataset previously. Forward and backward selection are used in wrapper method, that's combine with random forest and cross validation. Random forest is decision tree enhancement, which is group of trees that can produce difference or same result at each tree. The most results are made as final result. The final result from feature selection with wrapper method can make higher accuracy than without feature selection for numeric dataset and the number of feature can be reduced. With features selection which is sequential forward selection it has 98.84 % accuracy with 11 feature selected and with sequential backward selection, it has 99.03 % accuracy with same number of features selected. With reduced features, will reduces complexity of trees and time required in mining process.. © 2021 IEEE.","Decision trees; Random forests, Backward selection; Dimensionality reduction; Feature extraction and selection; Features selection; Forward selection; Random forest algorithm; Random forests; Relevant features; Wrapper; Wrapper methods, Feature extraction"
